"question","manual_source","page","section","answer_summary"
"How do I tune the position loop in ACE?","AMC_SW_Manual_ACE.pdf","85","Tuning and Commutation / Position Loop Tuning","In ACE, tune the position loop after the current and velocity loops are stable. Use the Position Loop Auto-Tuning wizard or tune manually under Tuning and Commutation > Position Loop: set the oscilloscope Channel 1 to Position Target and Channel 2 to Position Measured, then command a profiled move. Increase proportional gain (Kp) until following error during motion is minimized, then add integral gain (Ki) to eliminate steady-state position error at rest. Add derivative gain (Kd) or velocity feedforward only if needed to reduce overshoot. The In-Position window and In-Position Time parameters (under Motion Tasks) define when the drive asserts the In-Position output — set these to appropriate values for your application tolerance. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure homing parameters in ACE?","AMC_SW_Manual_ACE.pdf","90","Motion Tasks / Homing","In ACE under Motion Tasks > Homing, configure: Fast Velocity (speed in RPM or user units for the initial switch-search phase), Slow Velocity (reduced speed for index pulse or home-switch-edge detection), Acceleration and Deceleration for both phases, and the Home Offset (units in encoder counts applied after the home position is found). Select the Homing Method that matches your hardware: common options include Homing on negative limit switch with index pulse (Method 1), positive limit switch with index (Method 2), or home switch only without index (Method 17/18). The homing sequence is initiated from the Motion Panel, a digital input trigger, or a network command (object 6098h). For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I set up and run motion indexes in ACE?","AMC_SW_Manual_ACE.pdf","95","Motion Tasks / Motion Tasks","In ACE under Motion Tasks > Motion Tasks, create Index entries by specifying: Index Type (Absolute or Relative), Target Position (in user units or encoder counts), Maximum Velocity, Acceleration, Deceleration, and a Dwell time after the move completes. Up to 128 indexes can be stored in the drive's motion engine. Trigger an index from the Motion Panel (for testing), assign a digital input to trigger a specific index number on a rising edge, or initiate via network command (CANopen: write to object 607Ah and set bit 4 of the controlword). Link indexes into sequences using Sequence Tasks to create automated multi-step motion programs. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I use PVT (Position-Velocity-Time) motion profiles in ACE?","AMC_SW_Manual_ACE.pdf","100","Motion Tasks / PVT","In ACE under Motion Tasks > PVT, build a PVT table by defining rows of (Time interval in ms, Velocity at endpoint in RPM or user units, Delta Position in user units). The drive uses cubic spline interpolation between points to produce smooth jerk-limited motion. A PVT buffer holds up to 255 points; ensure the host streams new points before the buffer empties using the buffer-level output object. I/O sync can be configured to assert a digital output at a specific PVT table step — useful for triggering external devices at precise trajectory points. PVT mode is initiated by setting the drive's Mode of Operation to PVT (mode 7), then sending Start PVT via the controlword. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I use the digital oscilloscope in ACE?","AMC_SW_Manual_ACE.pdf","105","Tools and Functions / Digital Oscilloscope","The ACE digital oscilloscope (Tools > Digital Oscilloscope) captures up to 4 simultaneous channels of drive-internal signals at the servo loop sample rate (typically 4–16 kHz). Assign signals to each channel from the drop-down: common combinations are Channel 1 = Position Target + Channel 2 = Position Measured (to check following error), or Channel 1 = Current Target + Channel 2 = Current Measured (for current loop tuning). Set the Trigger source, level, and pre/post-trigger window, then click Arm — the scope captures automatically when the trigger condition is met. Use Time/Div and the zoom controls to inspect transients; export data as CSV via File > Export for external analysis. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I use the Motion Engine in ACE?","AMC_SW_Manual_ACE.pdf","110","Tools and Functions / Motion Engine","The Motion Engine in ACE is the drive's onboard task scheduler for executing Indexes, Sequences, and Homing autonomously. States: Disabled (no motion possible), Ready (waiting for a trigger), Running (executing a task), and Error (fault during motion). Enable the Motion Engine by clicking the Enable button in the toolbar (or writing to the Motion Engine enable object over the network) — the drive must already be in Operation Enabled state. Trigger tasks by number from the Motion Panel for testing, via a digital input edge (assign Trigger Index N to a PDI), or via a network command. The Motion Engine can also be configured to auto-start a sequence on power-up via the Start-Up Task setting. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I download firmware to a FlexPro drive using ACE?","AMC_SW_Manual_ACE.pdf","101","Downloading the Firmware","In ACE, go to File > Download Firmware (or the Firmware button in the toolbar). Use Browse Folder to point to the directory containing the firmware .bin file, or Browse File to select a specific file; firmware files are named by drive family and version (e.g., FlexPro_v2.xx.xx.bin). ACE downloads the firmware over the active communication channel — USB or RS485 recommended (Ethernet is supported but slower). Do NOT disconnect the drive or cut power during the download; if the process is interrupted, use the recovery mode documented in the manual to restore the drive. After download, ACE will prompt you to power-cycle the drive to activate the new firmware. For the full guide, download the ACE Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I connect DriveWare to a DigiFlex Performance drive?","AMC_SW_Manual_DriveWare.pdf","15","Introduction / Getting Started","Launch DriveWare and click New Connection; select RS-232 (for DP panel drives via DB-9 serial cable), RS-485/CANopen, or USB depending on the drive's available interface. For RS-232, set baud rate to 9600 (default) and COM port to match your PC's serial port; the default drive address is 63. After connecting, the Bridge Status indicator in the lower toolbar shows the drive state (red = fault, yellow = not enabled, green = enabled). Use the Waveform Generator (Tools menu) for open-loop testing and the Motion Panel to jog or trigger indexes. If the connection fails, verify the Interface Access Control setting in the drive is not locked to a different channel. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I view drive hardware information in DriveWare?","AMC_SW_Manual_DriveWare.pdf","20","Introduction / Getting Help","In DriveWare, go to Help > Drive Information to open the Drive Information panel, which displays: firmware version (e.g., 5.x.x.x), control board revision, power module part number and current/voltage rating, drive serial number, and MAC address (for Ethernet-capable drives). This panel is useful when reporting issues to AMC support. Also accessible via the status bar at the bottom of the DriveWare window, which shows current drive state, active faults, and bus voltage in real time. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure motor parameters in DriveWare?","AMC_SW_Manual_DriveWare.pdf","25","Configuring the Drive","In DriveWare, navigate to Configuring the Drive > Motor and select Motor Type: Brushed DC, Brushless (BLDC), Stepper, or AC Induction. For brushless motors set the number of pole pairs (motor poles ÷ 2) and encoder lines-per-revolution. Set Continuous Current Limit (max sustained output in Amps) and Peak Current Limit (max short-term current); the peak-to-continuous ratio determines the foldback time constant. For steppers, also set the number of steps per revolution and microstepping resolution. Click Save to EEPROM (or use File > Save Parameters) after completing configuration. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure velocity feedback in DriveWare?","AMC_SW_Manual_DriveWare.pdf","30","Configuring the Drive / Velocity Feedback","In DriveWare under Configuring the Drive > Velocity Feedback, select the velocity source: Motor Encoder Derived (calculates velocity from encoder count differentiation — most accurate for high-resolution encoders), Hall Velocity (derives velocity from Hall transition timing — useful when no encoder is present), or Tachometer (+/-10V analog tachometer input). Set the Velocity Feedback Filter cutoff frequency to reduce noise; a typical starting value is 500–2000 Hz. For encoder-derived velocity, also set the Velocity Feedback Resolution (post-quadrature encoder counts used for velocity calculation). Hall-derived velocity is less accurate at low speeds; switch to encoder-derived when encoders are available. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I run AutoCommutation in DriveWare?","AMC_SW_Manual_DriveWare.pdf","40","Configuring the Drive / AutoCommutation","In DriveWare, navigate to Configuring the Drive > Commutation and click AutoCommutation. The routine performs Phase Detect (locks rotor with DC current) then slowly rotates the motor to measure the commutation angle offset and verify encoder/Hall polarity. Prerequisites: motor parameters (pole pairs, encoder resolution) must be set, current loop must be tuned, and the motor must rotate freely for 2–3 turns without mechanical stops. If the routine succeeds, it writes the Commutation Offset angle and Encoder Polarity flags to EEPROM automatically. Verify with a jog move: smooth, controllable rotation at commanded velocity indicates correct commutation; erratic motion or excessive current suggests a phase wiring issue. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I configure digital input functions in DriveWare?","AMC_SW_Manual_DriveWare.pdf","45","Configuring the Drive / Digital I/O","In DriveWare under Configuring the Drive > Digital I/O, each digital input (DI1–DI8 depending on drive model) has a Function drop-down: Motion Enable (must be asserted to enable the drive bridge), Set Position (latches current position to a preset value on rising edge), Positive/Negative Limit Switch, Home Switch, Index Trigger, Fault Reset, or Capture. Set Polarity (active-high or active-low) for each input to match hardware wiring. Digital outputs (DO1–DO4) can indicate: In-Position, Motion Active, At Speed, Fault, or custom program-controlled states. The I/O Status display shows live input/output states for wiring verification. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"What are the minimum shunt resistance values for DigiFlex drives?","AMC_SW_Manual_DriveWare.pdf","50","Configuring the Drive / Shunt Resistor","Minimum external shunt resistance values by DigiFlex power module (to prevent overcurrent damage to the shunt FET): 015A400 = no external shunt available/N/A; 030A400 = 20 ohm minimum; 060A400 = 10 ohm minimum; 100A400 = 10 ohm minimum. For 800V-class power modules, consult the factory for shunt requirements. In DriveWare under Configuring the Drive > Shunt, enter the actual shunt resistance and rated wattage; the drive uses these values to compute the shunt duty-cycle limit to prevent overheating. The shunt activates when DC bus voltage exceeds the configured shunt threshold (nominally 75V for 400V-class drives). For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I tune the current loop in DriveWare?","AMC_SW_Manual_DriveWare.pdf","65","Tuning and Commutation / Current Loop Tuning","In DriveWare under Tuning > Current Loop, follow the 4-step procedure: Step 1 — set Kp (proportional gain) starting from a low value (e.g., 50); Step 2 — enable the drive and use the Waveform Generator to command a current step, observe on the oscilloscope (Channel 1 = Current Target, Channel 2 = Current Measured); Step 3 — increase Kp until current rise is fast with minimal ringing, then back off 10–20%; Step 4 — add Ki (integral gain) to eliminate steady-state error without causing oscillation. For AC Induction motors, also complete Step 7: tune the Flux Reference loop (Kp-flux, Ki-flux) using the magnetizing current response. Save parameters after tuning. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I tune the velocity loop in DriveWare?","AMC_SW_Manual_DriveWare.pdf","75","Tuning and Commutation / Velocity Loop Tuning","In DriveWare under Tuning > Velocity Loop, set the oscilloscope to Channel 1 = Velocity Target and Channel 2 = Velocity Measured. Command a velocity step from the Motion Panel and observe the response. Increase Kp (proportional gain) until the velocity follows the target quickly with minimal overshoot (aim for <10% overshoot), then add Ki (integral gain) in small increments to eliminate steady-state velocity error at constant speed. Add Kd (derivative gain) or Acceleration Feedforward only if needed to reduce velocity lag during ramps. A velocity loop bandwidth of 50–200 Hz is typical for most servo systems. Ensure the current loop bandwidth is at least 5–10x the velocity loop bandwidth. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I run motor commutation in DriveWare?","AMC_SW_Manual_DriveWare.pdf","70","Tuning and Commutation / Commutation","In DriveWare, before running the commutation routine go to Events > Advanced and set the Motor Over Speed event Action to Stop Smoothly or Disable (not Fault) to prevent a hard fault during the slow-rotate commutation test. Under Tuning > Commutation, confirm the encoder polarity (should show the encoder count increasing in the positive-command direction) and verify no encoder errors are reported. Click AutoCommutation to launch: the routine injects DC current, aligns the rotor, then rotates it slowly to measure the electrical commutation offset angle. After completion, the Commutation Offset value (degrees electrical) is displayed and saved to EEPROM. Test with a jog command; consistent smooth rotation confirms correct commutation. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I set up homing in DriveWare?","AMC_SW_Manual_DriveWare.pdf","80","Motion Tasks / Homing","In DriveWare under Motion Tasks > Homing, configure the following: Home Switch polarity (Active High or Active Low), Limit Switch polarity, Homing Method (combinations of index pulse and switch edges — e.g., Method 1 uses negative limit switch with index pulse; Method 17 uses home switch edge only without index), Fast Velocity (switch-search speed), Slow Velocity (index/edge detection speed), and Home Offset (position value assigned to the home position). The homing sequence begins when initiated from the Motion Panel or via a digital input assigned to Start Homing. After a successful home, the drive's position counter is set to the Home Offset value and the Homed status bit (statusword bit 12) is set. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I create and run Jog profiles in DriveWare?","AMC_SW_Manual_DriveWare.pdf","85","Motion Tasks / Jog","In DriveWare under Motion Tasks > Jog, configure up to 4 Jog Velocity presets (Jog Speed 1–4 in RPM or user units), plus shared Acceleration and Deceleration ramp rates. Jog direction (positive or negative) and speed level are selected from the Motion Panel or via digital input assignments (assign DI functions Jog +Speed1/2 and Jog -Speed1/2 to specific inputs). Pressing and holding the Jog button (or holding the digital input active) runs the motor continuously at the selected speed; releasing the input applies the programmed deceleration ramp to stop. Jog is useful for verifying direction convention and feedback polarity after initial wiring. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I use the digital oscilloscope in DriveWare?","AMC_SW_Manual_DriveWare.pdf","90","Tools and Functions / Digital Oscilloscope","The DriveWare digital oscilloscope (Tools > Oscilloscope) captures up to 4 simultaneous channels of drive-internal signals sampled at the servo loop rate. Add channels by clicking the + button and selecting from the signal list: Velocity Target, Velocity Measured, Current Target, Current Measured, Position Target, Position Error, and others. Configure trigger source, trigger level, and sample window duration, then click Start to arm the capture. After a trigger event, the waveform is displayed and can be zoomed and panned. Use Cursor A/B to measure time intervals and amplitudes. Save captures as .dwc files or export as .csv for analysis in Excel or MATLAB. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"How do I download firmware to a DigiFlex drive using DriveWare?","AMC_SW_Manual_DriveWare.pdf","88","Downloading the Firmware","In DriveWare, go to File > Download Firmware. Use Browse Folder to point to the folder containing the firmware .bin or .fmw file, or Browse File to select a specific firmware file; firmware is named by drive series and version (e.g., DigiFlex_v5.x.x.x.fmw). Download occurs over the active communication channel — RS-232 is standard; CAN is also supported but slower. Do NOT interrupt power or the communication link during the firmware download process; an incomplete download may require factory recovery. After the firmware is downloaded, cycle power to the drive to activate the new firmware, then re-connect with DriveWare and verify the firmware version in Drive Information. For the full guide, download the DriveWare Software User Manual from a-m-c.com > Support > Downloads > Software Downloads."
"What are the EtherCAT drive control state machine states?","AMC_CommManual_FP_EtherCAT.pdf","21","Communication Manual / Control State Machine","The CiA 402 drive state machine has 8 states controlled via the Controlword (object 6040h) and monitored via the Statusword (object 6041h): Not Ready to Switch On (power-on initialization, not user-accessible), Switch On Disabled (power bridge disabled, drive idle), Ready to Switch On (fault-free, waiting for Switch On command), Switched On (bridge enabled, current loops active, waiting for Enable Operation), Operation Enabled (full servo control active, motor responds to commands), Quick Stop Active (deceleration in progress after Quick Stop command), Fault Reaction Active (fault detected, executing fault reaction), and Fault (fault state, requires Fault Reset command to clear). The standard enable sequence writes Controlword = 6 (Ready to Switch On), then 7 (Switch On), then 15 (Enable Operation). For the full guide, download the FlexPro EtherCAT Communication Manual from a-m-c.com > Support > Downloads > Communication Manuals."
"What does the Operation Enabled state mean?","AMC_CommManual_FP_EtherCAT.pdf","22","Communication Manual / Control State Machine","Operation Enabled (Statusword bits 0–5 = 0x37, i.e., bits: Ready=1, Switched On=1, Operation Enabled=1, Fault=0, Voltage Enabled=1, Quick Stop=1) is the normal run state: the power bridge is energized, all control loops (current, velocity, position) are active, and the drive executes commands received via PDO or SDO. To enter this state, the host writes Controlword = 15 (0x000F) while in Switched On state. To leave gracefully, write Controlword = 7 (disable operation), then 6 (switch off) to return to Switch On Disabled. Any fault condition automatically transitions the drive to Fault Reaction Active then Fault; write Controlword bit 7 = 1 (Fault Reset) to return to Switch On Disabled after clearing the fault condition. For the full guide, download the FlexPro EtherCAT Communication Manual from a-m-c.com > Support > Downloads > Communication Manuals."
"How do I troubleshoot a red LED on an analog drive?","AMC_AppNote_009.pdf","1","Red LED Troubleshooting","A red LED indicates a fault; follow the 9-step isolation procedure in App Note 009. Common causes include invalid Hall sensor states (valid 60° states: 001,010,011,100,101,110; all others invalid), over-temperature (>65°C on thermistor), over/under voltage, or a motor short. Disable the drive, check Hall wiring phasing (60° vs 120° DIP switch), verify motor wiring continuity, then re-enable. For the full guide, download the AMC Application Note 009 from a-m-c.com > Support > Downloads > Application Notes."
"What causes I²t foldback on an analog drive?","AMC_HWManual_AnalogDrives.pdf","65","I²t Foldback","I²t foldback (current foldback) activates when the motor draws continuous current above the set continuous current limit for too long, preventing winding overheating. The drive accumulates an internal I²t counter; when it reaches 100%, output current is folded back to the continuous limit. Reduce peak demand, increase continuous current rating, or improve thermal conditions. For the full guide, download the AMC Hardware Manual — Analog Drives from a-m-c.com > Support > Downloads > Hardware Manuals."
"How do I set the continuous current limit on an analog drive?","AMC_AppNote_011.pdf","1","Continuous Current Limit","Turn the CURR LIMIT potentiometer using the formula: turns from full CCW = (Icont / Imax) × 12 + 1, where the pot has 12 active turns plus 1 inactive turn at each end (14 total). Example: B25A20 (5A continuous, 12.5A peak) = (5/12.5) × 12 + 1 = 5.8 turns ≈ 6 turns. Example: B60A40 (10A/15A) = (10/15) × 12 + 1 = 9 turns. The CURRENT SCALING and CONT. CURR. REDUCTION switches further adjust output scaling. For the full guide, download the AMC Application Note 011 from a-m-c.com > Support > Downloads > Application Notes."
"What does the product label on an AMC drive contain?","AMC_ProductNote_Product_Identification.pdf","1","Product Label Fields","The AMC product label contains 8 fields: (1) model number, (2) revision, (3) version, (4) proto designation, (5) serial number, (6) date code in YYWW format (year + week), (7) I/O power data (input voltage, continuous/peak current), and (8) agency approvals (UL, CE, etc.). The date code is critical for warranty and firmware compatibility checks. For the full guide, download the AMC Product Note — Product Identification from a-m-c.com > Support > Downloads > Product Notes."
"How do I replace a legacy analog drive with an AxCent drive?","AMC_ProductNote_AxCent_Retrofit_Large.pdf","1","AxCent Retrofit","Use the AxCent retrofit product note to identify the replacement model by matching mounting dimensions and electrical specifications. Replace the -INV DIP switch function using the equivalent AxCent parameter; note that the -ANP option is not supported on AxCent and cannot be retrofitted. Follow the replacement table in the product note for compatible model substitutions. For the full guide, download the AMC Product Note — AxCent Retrofit (Large) from a-m-c.com > Support > Downloads > Product Notes."
"How do I tune the current loop on an analog drive?","AMC_AppNote_015.pdf","1","Current Loop Tuning","Current loop tuning uses DIP switches SW3 (proportional gain), SW4 (integral gain), and SW7 (bandwidth selection). Start with SW7 in low-bandwidth position, then increase SW3 (proportional) until oscillation occurs, then back off one position. Increase SW4 (integrator capacitor) incrementally to reduce steady-state error. S-Series drives require a triple-loop tuning approach. Mill Max P/N 8427 pin receptacles can be used for temporary DIP switch override during tuning. For the full guide, download the AMC Application Note 015 from a-m-c.com > Support > Downloads > Application Notes."
"How do I wire a brushed motor to a brushless amplifier?","AMC_AppNote_007.pdf","1","Brushed Motor Wiring","To run a brushed motor on a brushless amplifier, disconnect all Hall sensor inputs and set the 60° phasing DIP switch to OFF (toward the outside of the case). Connect Motor A to the negative terminal and Motor B to the positive terminal; leave Motor C unconnected. This configures the drive for single-phase (brush) commutation. For the full guide, download the AMC Application Note 007 from a-m-c.com > Support > Downloads > Application Notes."
"What are the Hall sensor valid states for 60° and 120° phasing?","AMC_AppNote_009.pdf","1","Hall Sensor Valid States","For 60° phasing, valid Hall states (H1, H2, H3) are: 001, 010, 011, 100, 101, 110 — states 000 and 111 are invalid faults. For 120° phasing the same six states are valid but phase assignments differ. An invalid Hall state (000 or 111) will cause a red LED fault and the drive will not commutate. Verify wiring polarity and sensor phasing before enabling the bridge. For the full guide, download the AMC Application Note 009 from a-m-c.com > Support > Downloads > Application Notes."
"What network options are available for AMC drives?","AMC_AppNote_001.pdf","1","Network Options","AMC drives support: CANopen (1 Mbit/s, 128 nodes, ~130 µs message time), RS232 (115.2 kbit/s, 1 node, ~1.45 ms), RS485 2-wire or 4-wire (921.6 kbit/s, 32 nodes, ~324 µs), EtherCAT (2×100 Mbit/s, 65535 nodes, ~100 µs), and POWERLINK (100 Mbit/s, 240 nodes). EtherCAT has the highest node count and lowest latency. Choose based on master controller support and required update rate. For the full guide, download the AMC Application Note 001 from a-m-c.com > Support > Downloads > Application Notes."
"How do I connect a DZ PCB drive via RS485 using the MC1XDZ adapter?","AMC_AppNote_002.pdf","1","DZ RS485 via MC1XDZ","To connect a DZRALTE via RS485 using the MC1XDZ interface card, install the J3 jumper on the DZRALTE and move JF2 and JF3 jumpers on the MC1XDZ from pins 1-2 to pins 2-3. Default communication settings are 9600 baud and address 63. Note that RS232 and RS485 parameters are stored independently in NVM and must be configured separately for each interface. For the full guide, download the AMC Application Note 002 from a-m-c.com > Support > Downloads > Application Notes."
"What are the design requirements for the DZ PCB drive interface card?","AMC_AppNote_008.pdf","1","DZ Interface Card Design","The DZ interface card address lines must not exceed 3V; use a 500 kΩ voltage divider to meet this limit. The DZC variant requires an external CAN transceiver — it is not built in. High-speed digital inputs use a 250 Ω + 100 pF RC filter plus 10 kΩ pull-up and 20 kΩ R2 for single-ended conversion. Analog inputs use a 2 kΩ + 6.7 kΩ divider network. Maximum current per HV pin is 3A, and a separate 5 VDC ±5% logic supply is required. For the full guide, download the AMC Application Note 008 from a-m-c.com > Support > Downloads > Application Notes."
"How do I send RS485 serial commands to a FlexPro drive?","AMC_AppNote_006.pdf","1","RS485 Serial Commands","RS485 messages use the CRC-16-CCITT XModem protocol. Each message header contains: SOF byte A5h, node address, control byte, object index (e.g., 2047h for PVT points, 2048h for command source, 2001h for bridge enable), sub-index, data words, and 2-byte CRC. A 7-point trapezoidal PVT profile example is included in App Note 006. A stop point is defined by velocity = 0 and time = 0. For the full guide, download the AMC Application Note 006 from a-m-c.com > Support > Downloads > Application Notes."
"How do I use Docklight to communicate with an AMC drive over serial?","AMC_AppNote_036.pdf","1","Docklight Serial Communication","Configure Docklight to 9600 baud (default AMC setting) and compose messages using the AMC serial protocol: SOF byte A5h, address byte, control byte, object index, sub-index offset, data word(s), and 2-byte CRC-16-CCITT XModem. To enable the bridge, send the appropriate index 45h interface input command. Example TX/RX hex messages for bridge enable are provided in App Note 036. For the full guide, download the AMC Application Note 036 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure PVT motion profiles over RS485?","AMC_AppNote_006.pdf","2","PVT Motion Profiles","PVT (Position-Velocity-Time) profiles are loaded via RS485 using object index 2047h for each PVT point. Set command source via object 2048h and enable the bridge via object 2001h. The drive uses a 7th-order polynomial interpolator with a 14-point buffer. A stop point is always defined as velocity = 0 and time = 0 at the end of the profile. A 7-point trapezoidal example with exact hex messages is in App Note 006. For the full guide, download the AMC Application Note 006 from a-m-c.com > Support > Downloads > Application Notes."
"How do I set up sequencing on an AMC drive?","AMC_AppNote_035.pdf","1","Motion Sequencing","The Motion Engine supports up to 16 sequences, each with up to 5 step categories (move, wait, set I/O, jump, stop). For power-up auto-start, set Bridge Status = Software Enable, Motion Engine = Enable, and Default Mode = Sequencer in the drive configuration. Assign digital I/O lines using Motion Select 0–3 bits to trigger sequences externally. Use breakpoints in the sequencer for step-by-step debugging. For the full guide, download the AMC Application Note 035 from a-m-c.com > Support > Downloads > Application Notes."
"How do I enable the Motion Engine at power-up?","AMC_AppNote_027.pdf","1","Motion Engine Power-Up","To enable the Motion Engine at power-up, write to object 20C8.01h (Modbus register 40016). Bit 4 = enable Motion Engine; bits 0–2 = motion type; bits 3–4 = selection source; bits 5–8 = startup index; bits 9–15 = auto-initiate settings. Alternatively, use object 2008.01h bit 4. When the Motion Engine is enabled, it takes exclusive control of the drive command source. For the full guide, download the AMC Application Note 027 from a-m-c.com > Support > Downloads > Application Notes."
"How do I troubleshoot USB and RS232 connection issues in ACE software?","AMC_AppNote_050.pdf","1","USB/RS232 Troubleshooting","Default USB address is 63; for multi-axis use addresses 62, 61, 60. If the drive does not appear, re-enumerate via Windows Device Manager (uninstall device, reconnect USB). For RS232 use a straight (not null-modem) cable. Recommended USB-to-serial adapters: ATEN USB to Serial 1.5 or B&B Electronics USOPTL4/USO9ML2-LS. Perform a loopback test by connecting DB-9 pins 2+3 and 7+8 (tie 1+4+6) to verify adapter function. For the full guide, download the AMC Application Note 050 from a-m-c.com > Support > Downloads > Application Notes."
"How do I configure the Programmable Limit Switch (PLS)?","AMC_AppNote_034.pdf","1","Programmable Limit Switch","The PLS provides two independent outputs configurable for position-based or time-based pulse modes. In rotary mode with rollover, the condition Lower Edge + Repeat Delta > Upper Edge must be met. Configure repeat count and conveyor belt parameters as needed. Use ACE software to assign PLS outputs to digital output channels and set the edge positions and pulse widths. For the full guide, download the AMC Application Note 034 from a-m-c.com > Support > Downloads > Application Notes."
"What ferrite cores should I use for EMI filtering on AMC drives?","AMC_AppNote_023.pdf","1","Ferrite EMI Filtering","AMC recommends Fair-Rite and TDK ferrite cores for EMI suppression. Noise typically appears at 30–40 MHz. Choose the ferrite by wire gauge: AWG 28–16 uses smaller cores, AWG 20–14 uses medium cores, AWG 12–8 and 10–6 use larger cores. Each ferrite in App Note 023 is listed with impedance values at 10 MHz, 25 MHz, and 100 MHz. Install ferrites on motor power leads and signal cables near the drive. For the full guide, download the AMC Application Note 023 from a-m-c.com > Support > Downloads > Application Notes."
"How do I set up the MACC network controller?","AMC_AppNote_047.pdf","1","MACC Networking","The MACC default IP address is 192.168.100.50; configure your PC to IP 192.168.100.240, subnet 255.255.255.0. Verify connectivity with a ping test before attempting communication. Use the C&M compiler with target MAL-MACC to compile and download motion programs. Ensure the Ethernet cable is connected before powering the MACC. For the full guide, download the AMC Application Note 047 from a-m-c.com > Support > Downloads > Application Notes."
"How do I download a Click&Move application to a drive?","AMC_AppNote_049.pdf","1","Click&Move Application Download","In Click&Move, select target PLA-AMC Programmable Servo Drive Platform A. Compile the application to a .dff file (CMApplication.dff) to burn to NVM, or a .lff file to run via Ethernet without NVM write. Use the DriveWare Firmware Download procedure to transfer the file. To remove a Click&Move application, download clearapp.dff to the drive. For the full guide, download the AMC Application Note 049 from a-m-c.com > Support > Downloads > Application Notes."
"What are the STO wiring requirements for DigiFlex Panel EtherCAT drives?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","50","STO Wiring","STO wiring on the DigiFlex Panel EtherCAT uses: pin 4 = STO-1, pin 6 = STO-2, pin 3 = STO-1 return, pin 5 = STO-2 return, pin 1 = STO output signal. Both STO-1 and STO-2 must be energized (24V) for the drive to operate; removing either channel disables torque output (SIL 3, Cat 4 / PL e). A monthly proof test is required per IEC 62061 to verify both channels operate independently. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
"What are the I/O timing parameters for the DigiFlex Panel EtherCAT drive?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","40","I/O Timing","Digital outputs on the DigiFlex Panel EtherCAT are isolated 24V bi-directional optical isolators. Active High outputs have a 1900 ms power cycle delay and 1800 ms reset delay. These delays must be accounted for in system startup sequencing. Inputs are also optically isolated and rated for 24V logic. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
"How does thermal derating work on DigiFlex Panel EtherCAT drives?","AMC_HWManual_DigiFlex_Panel_EtherCAT.pdf","25","Thermal Derating","Thermal derating curves on the DigiFlex Panel EtherCAT are provided per model in the hardware manual on page 25. Each curve shows maximum continuous output current vs. ambient temperature. Above the rated ambient temperature, current capability decreases linearly. Ensure adequate airflow or heatsinking to stay within the derating curve for your ambient conditions. For the full guide, download the AMC Hardware Manual — DigiFlex Panel EtherCAT from a-m-c.com > Support > Downloads > Hardware Manuals."
