term,aliases,definition,related_terms
statusword,"status word, 6041h",A CANopen/EtherCAT object (index 6041h) containing bit-mapped status flags indicating the drive's current state and conditions.,controlword; state machine; fault; DS402
Step and Direction,"step/dir, pulse and direction",A digital command format using two lines where one increments position/velocity and the other indicates direction; adapted from stepper motor control.,stepper; digital input; encoder following; position loop
Stepper,"stepper motor, step motor, stepping motor",An electromechanical device converting electrical pulses into discrete mechanical movements; affordable low-torque positioning with lower efficiency than servos.,step and direction; BLDC; motor type; commutation
STO,"Safe Torque Off, safe disable",A safety function (SIL 2/PLd) that removes power to the motor by disabling the drive bridge through a dedicated hardware input.,inhibit; functional safety; enable; digital input
SYNC,"synchronization message, SYNC object",A CANopen broadcast message that triggers synchronized PDO exchange and sampling across all network nodes.,CANopen; PDO; distributed clock; cyclic synchronous
Tachometer,"tach, tach feedback, speed sensor",A feedback device that measures motor velocity providing speed information to the control system.,feedback; velocity loop; resolver; encoder
termination resistor,"termination, bus terminator, 120 ohm resistor",A 120-ohm resistor placed at each end of a CAN bus network to match line impedance and prevent signal reflections.,CAN; CANopen; DIP switch; network topology
torque constant,"Kt, motor torque constant",A motor parameter (Nm/A) that defines the relationship between motor current and output torque used for drive configuration.,back EMF; motor; current loop; motor data
Torque Ripple,"torque variation, ripple torque",Variations in motor torque at specific rotational positions; smoother motors exhibit minimal ripple.,cogging; detent; sinusoidal commutation; trapezoidal commutation
TPDO,"Transmit PDO, TxPDO",A Process Data Object transmitted by the drive to the network master containing feedback data such as actual position or statusword.,RPDO; PDO; PDO mapping; CANopen; EtherCAT
Trapezoidal commutation,"six-step commutation, block commutation",A commutation method that drives motor phases with six distinct rectangular current states creating trapezoidal waveform patterns.,sinusoidal commutation; commutation; hall sensors; BLDC
trapezoidal profile,"trapezoidal motion profile, trap profile",A motion profile with constant acceleration cruise velocity and constant deceleration forming a trapezoidal velocity shape.,S-curve; profile position; profile velocity; acceleration
troubleshooting,"diagnostics, fault diagnosis",The process of identifying and resolving drive fault conditions using LED indicators status codes and software diagnostic tools.,fault; LED; scope; DriveWare; ACE
Tuning,"servo tuning, loop tuning, parameter tuning",The process of adjusting system parameters to achieve optimal response characteristics and stability.,auto-tune; gain; Kp; Ki; Kd; bandwidth; critically damped
UDFB,"User-Defined Function Block",A custom reusable function block created in Click&Move's Eagle editor that encapsulates user-defined logic for motion applications.,ClickMove; FBD; Eagle; function block
Under Damped,"underdamped, under-damped",A system response exhibiting overshoot and oscillation occurring when the damping ratio is less than 1.,critically damped; over damped; tuning; bandwidth
under-voltage,"UV, bus under-voltage, DC bus under-voltage",A fault condition triggered when the DC bus voltage drops below the drive's minimum operating threshold.,bus voltage; over-voltage; fault; power supply
Unipolar,"unipolar drive, unipolar mode",A control scheme allowing current flow in only one direction through the motor windings.,bipolar; stepper; current mode
Unity Gain,"gain of 1, 0 dB gain",A gain value of 1 where the output magnitude equals the input magnitude without amplification or attenuation.,gain; bandwidth; reference gain
vector control,"closed-loop vector, field-oriented control, FOC",An advanced motor control technique that independently controls torque and flux components for optimal performance with AC motors.,sinusoidal commutation; induction motor; BLDC; current loop
vehicle drive,"vehicle application, ruggedized drive",AMC drive variants designed for mobile and vehicle applications with extended environmental ratings and compliance.,AxCent; DigiFlex; DVC; compliance; XEnv
Velocity Feedforward,"vel feedforward, vel FF",Injection of compensating torque/force in velocity loops to counteract delays during velocity changes.,acceleration feedforward; feedforward; velocity loop; tuning
Velocity Loop,"velocity controller, speed loop, middle loop",The control loop that regulates motor velocity using feedback to maintain commanded speed by generating current commands based on velocity error.,current loop; position loop; PID; feedback; notch filter
Velocity Mode,"velocity control mode, speed mode",A drive mode where the velocity loop is active and the drive regulates motor speed from an external command.,current mode; voltage mode; velocity loop; modes of operation
velocity offset,"60B1h, speed offset",A CANopen object that adds an offset to the velocity command for feedforward compensation in position mode.,current offset; feedforward; velocity loop
Voltage Mode,"voltage control mode",A drive mode where the output voltage is proportional to the input command providing less regulation than current mode.,current mode; velocity mode; open loop mode; IR compensation mode
watchdog,"WDT, communication watchdog",A timer-based safety feature that disables the drive if network communication is lost for longer than the configured timeout period.,heartbeat; NMT; communication; fault
waveform generator,"wave gen, signal generator",A built-in tool in ACE/DriveWare that generates test signals (step sine square) for drive tuning without external equipment.,scope; auto-tune; ACE; DriveWare
workspace,"ACE workspace, project workspace",The main ACE software window layout containing the system browser status panel and drive configuration views.,ACE; DriveWare; system browser
XEnv,"Extended Environment, extended temp",A drive variant designation indicating extended environmental ratings for temperature humidity and vibration beyond standard specifications.,vehicle; AxCent; DxM; PCB mount
XML,"Extensible Markup Language",A file format used for EtherCAT ESI files and configuration data that describes drive communication parameters and capabilities.,ESI file; EDS file; EtherCAT; configuration
